id,title,streams,skills_text,interests_text,description
software_engineer,Software Engineer,"science|vocational|commerce","programming common-sense problem-solving algorithms debugging","tech creative problem-solving","Develop software, apps and systems; coding and problem solving."
data_scientist,Data Scientist,"science|commerce","python statistics machine-learning analysis sql","tech business analytics","Analyze data, build models and extract insights."
web_developer,Web Developer,"science|vocational|arts","html css javascript frontend backend responsive-design","tech creative web","Build websites and web applications; front-end and back-end work."
mobile_developer,Mobile Developer,"science|vocational","android ios java kotlin swift","tech creative mobile","Build mobile apps for Android/iOS platforms."
ui_ux_designer,UI/UX Designer,"arts|vocational","design ux research prototyping figma sketch creativity","design creative tech","Design user interfaces and experiences."
graphic_designer,Graphic Designer,"arts|vocational","illustration branding adobe-photoshop creativity typography","design creative","Design visual materials, branding and marketing assets."
data_engineer,Data Engineer,"science|vocational|commerce","etl sql big-data pipelines spark python","tech analytics infrastructure","Build data pipelines, ETL and infrastructure for analytics."
ml_engineer,Machine Learning Engineer,"science|vocational","machine-learning python tensorflow pytorch model-deployment","tech research","Implement and deploy ML systems and models."
system_admin,System Administrator,"science|vocational","linux networking scripting monitoring security","tech infrastructure","Manage servers, networks and system reliability."
devops_engineer,DevOps Engineer,"science|vocational","ci-cd docker kubernetes automation scripting","tech infrastructure","Automate deployments and manage CI/CD pipelines."
civil_engineer,Civil Engineer,"science","autocad structural-design construction maths","field design infrastructure","Design and supervise construction projects and infrastructure."
mechanical_engineer,Mechanical Engineer,"science|vocational","mechanical-design cad thermodynamics hands-on","engineering design","Design mechanical systems and devices."
electrical_engineer,Electrical Engineer,"science|vocational","circuit-design electronics embedded-systems","engineering tech","Design and develop electrical systems and devices."
architect,Architect,"science|arts","design creativity cad architecture drawing","design construction","Design building plans, architecture and spaces."
doctor,Doctor / Physician,"science","medical clinical-diagnosis surgery patient-care","helping medical","Provide medical care; diagnosis and treatment of patients."
nurse,Nurse,"science|vocational","patient-care empathy clinical-skills monitoring","helping medical","Provide nursing care in hospitals or clinics."
pharmacist,Pharmacist,"science","pharmacology dispensing customer-service attention-to-detail","medical business","Dispense medicines and advise on usage."
lab_technician,Lab Technician,"science|vocational","lab-tech measurements assays attention-to-detail","medical research","Perform lab tests and analysis in medical/lab settings."
teacher,Teacher / Lecturer,"arts|science|commerce","teaching communication lesson-planning mentoring","education helping","Teach students, design lessons and mentor learners."
professor,University Professor,"science|arts","research teaching publications phd mentoring","education research","Conduct research and teach at university level."
lawyer,Lawyer,"arts|commerce","legal-research argumentation communication writing","law justice","Provide legal advice, represent in court, draft documents."
judge,Judge,"arts|commerce","legal-interpretation ethics experience judgment","law publicservice","Preside over courts and make legal judgments."
police_officer,Police Officer,"arts|science|vocational","discipline law-enforcement leadership fitness","law publicservice","Maintain law and order; patrol and enforce laws."
army_officer,Army / Defence,"science|vocational|arts","discipline leadership fitness strategy","publicservice adventure","Serve in defense forces; disciplined and physical roles."
clerk,Clerk / Administrative,"commerce|arts|vocational","typing administration organization ms-office attention-to-detail","business ops","Administrative tasks, record keeping and office work."
bank_po,Bank PO,"commerce","banking finance customer-service clerical-accounts","finance business","Bank officer roles, clerical, customer service, and finance operations."
accountant,Accountant,"commerce","accounts taxes auditing bookkeeping excel","finance business","Manage financial records, taxes and audits."
hr_manager,HR Manager,"commerce|arts","communication hiring employee-relations training","management people","Manage hiring, training and employee relations."
marketing_exec,Marketing Executive,"commerce|arts","branding digital-marketing content social-media analytics","business creative","Plan marketing campaigns, brand strategy, digital marketing."
sales_executive,Sales Executive,"commerce|arts","sales negotiation persuasion crm","business interpersonal","Sell products, manage clients, meet targets."
chef,Chef / Cook,"vocational|arts","cooking menu-planning food-safety creativity","creative hands-on","Prepare food, manage kitchen and create menus."
electrician,Electrician / Technician,"vocational|science","electrical-installation wiring troubleshooting hands-on","trade technical","Install and repair electrical systems."
plumber,Plumber,"vocational","plumbing repair installation hands-on","trade","Install and maintain plumbing systems."
pilot,Pilot,"science|vocational","navigation safety attention-to-detail licenses","adventure tech","Pilot aircraft; requires licensing and training."
photographer,Photographer,"arts|vocational","photography composition editing creativity","creative arts","Capture and edit photographs for events or media."
content_writer,Content Writer,"arts|commerce","writing seo storytelling research communication","creative media","Write articles, copy, and content for web and marketing."
social_worker,Social Worker,"arts|science","counseling empathy case-management communication","helping social","Support individuals and communities in need."
occupational_therapist,Occupational Therapist,"science|vocational","therapy rehabilitation patient-care empathy","medical helping","Help patients recover and regain skills."
physical_trainer,Physical Trainer,"vocational|arts","fitness coaching physical-training nutrition","health outdoors","Coach fitness and training plans for clients."
tour_guide,Tour Guide,"arts|vocational","communication history storytelling languages","travel interpersonal","Guide tourists, share knowledge and manage tours."
journalist,Journalist,"arts|commerce","reporting writing investigation communication","media current-affairs","Research and report news stories for media outlets."
social_media_manager,Social Media Manager,"commerce|arts","social-media content-creation analytics communication","media creative","Manage social media accounts and create engaging content."
translator,Translator,"arts|vocational","languages translation communication writing","creative linguistic","Translate written or spoken content between languages."
psychologist,Psychologist,"science|arts","counseling research empathy communication","helping mental-health","Provide psychological support and conduct research."
